"PC1" "PC2" "PC3" "Population" "Superpopulation"
"HG00978" -91.7022412314463 -110.929262116999 3.79242354118181 "CDX" "EAS"
"HG00982" -89.8841777428387 -114.950590629622 3.3341338445079 "CDX" "EAS"
"HG01028" -90.6112357244216 -112.441890622398 3.38688554812091 "CDX" "EAS"
"HG01029" -90.9273960795286 -114.29459054658 4.16263860238641 "CDX" "EAS"
"HG01031" -90.0620580451844 -110.810007866928 4.5585976850119 "CDX" "EAS"
"HG01046" -90.9660980992266 -112.302672770881 3.04647288514311 "CDX" "EAS"
"HG01047" -24.6874409764957 72.7552010336413 26.1712798012958 "PUR" "AMR"
"HG01048" -19.8162454351389 62.9568946540289 30.0461519138846 "PUR" "AMR"
"HG01049" 4.68235280105985 49.9638620917385 28.6548575874087 "PUR" "AMR"
"HG01051" -2.19396328191363 44.5099258957686 32.1886994484954 "PUR" "AMR"
"HG01052" -0.543334769494281 45.2122176997657 30.6287346152237 "PUR" "AMR"
"HG01054" -32.4197272590375 66.8794565760378 33.9281995300654 "PUR" "AMR"
"HG01055" -14.1139355878726 65.5885706524355 26.8207560381269 "PUR" "AMR"
"HG01058" -19.1197578122525 60.8186473645123 30.5893176770063 "PUR" "AMR"
"HG01060" -24.6924568986959 68.1042227779332 27.9029317421673 "PUR" "AMR"
"HG01061" -28.1572707900142 69.2954223148554 33.3096692761719 "PUR" "AMR"
